tcga_code,gene,round2B_logFC,round2B_q,round2B_robust,round2B_interpretation,stage1_shift,stage1_robust,stage1_interpretation,finite_overlap,direction_concordant,robust_call_agreement,round2B_n_pairs,stage1_n_pairs,stage1_mean_shift,stage1_p_value,stage1_q_value_bh70,stage1_passes_statistical_screen,stage1_passes_effect_screen,round2B_analysis_status,stage1_status,xena_patient_cases,round2B_patient_cases,n_common_patient_cases,n_xena_only_cases,n_round2B_only_cases,exact_patient_set_match,patient_set_relation,status
ESCA,CYP3A7,,,FALSE,not_estimable_primary,0.07528720778380263,FALSE,not_robust,FALSE,,,13,13,0.09152712581791558,0.5293681061847979,0.5789963661396227,FALSE,FALSE,low_expression_not_estimable,estimable_xena,13,13,13,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
ESCA,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,13,13,-0.008255327407903678,0.9188126832746419,0.9188126832746419,FALSE,FALSE,low_expression_not_estimable,estimable_xena,13,13,13,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
HNSC,MAOB,-2.195766243935843,5.389883586837028e-7,TRUE,loss,-1.985841023083316,TRUE,loss,TRUE,TRUE,TRUE,43,43,-1.4521702213430774,6.258484921905017e-5,1.7523757781334046e-4,TRUE,TRUE,primary_count_level,estimable_xena,43,43,43,0,0,TRUE,exact_match,overlap_estimable
HNSC,CYP3A4,,,FALSE,not_estimable_primary,-0.1873245684590969,FALSE,not_robust,FALSE,,,43,43,-0.4599665045544486,5.019500399268598e-6,1.5971137634036448e-5,TRUE,FALSE,low_expression_not_estimable,estimable_xena,43,43,43,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
HNSC,CYP3A5,-2.3227847652088953,1.1782339585963816e-11,TRUE,loss,-1.7550436864333387,TRUE,loss,TRUE,TRUE,TRUE,43,43,-1.830712966434136,1.9019878228480077e-6,6.656957379968027e-6,TRUE,TRUE,primary_count_level,estimable_xena,43,43,43,0,0,TRUE,exact_match,overlap_estimable
HNSC,CYP3A7,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,43,43,-0.010075329495007144,0.24348088542272384,0.30988476326528486,FALSE,FALSE,low_expression_not_estimable,estimable_xena,43,43,43,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
HNSC,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,43,43,-0.002262637968517078,0.7083965248191288,0.7401157721990897,FALSE,FALSE,low_expression_not_estimable,estimable_xena,43,43,43,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
KICH,MAOB,-4.277630302455459,1.0040206866003845e-6,TRUE,loss,-4.87163157999496,TRUE,loss,TRUE,TRUE,TRUE,25,25,-4.228449855175273,1.8841157194807015e-5,5.7342652332021355e-5,TRUE,TRUE,primary_count_level,estimable_xena,25,25,25,0,0,TRUE,exact_match,overlap_estimable
KICH,CYP3A4,1.782107097062945,0.03165345117844219,TRUE,gain,0.011970986981916454,FALSE,not_robust,TRUE,TRUE,FALSE,25,25,0.43975600184813995,0.9142910652076612,0.9188126832746419,FALSE,FALSE,primary_count_level,estimable_xena,25,25,25,0,0,TRUE,exact_match,overlap_estimable
KICH,CYP3A5,-0.09704918525757156,0.7167078712338939,FALSE,not_robust,-0.9761998097289117,TRUE,loss,TRUE,TRUE,FALSE,25,25,-0.9560681024954507,0.002362005714419646,0.004592788889149312,TRUE,TRUE,primary_count_level,estimable_xena,25,25,25,0,0,TRUE,exact_match,overlap_estimable
KICH,CYP3A7,2.490823303182836,9.44379842296582e-5,TRUE,gain,0.6915147661179297,TRUE,gain,TRUE,TRUE,TRUE,25,25,1.2105276490774095,0.01434408942716936,0.026423322628996188,TRUE,TRUE,primary_count_level,estimable_xena,25,25,25,0,0,TRUE,exact_match,overlap_estimable
KICH,CYP3A43,,,FALSE,not_estimable_primary,0,FALSE,not_robust,FALSE,,,25,25,0.15487337967620357,0.3530621049801619,0.4119057891435222,FALSE,FALSE,low_expression_not_estimable,estimable_xena,25,25,25,0,0,TRUE,exact_match,count_level_not_estimable:low_expression_not_estimable
KIRC,MAOB,0.8048316374358927,1.7794322974568085e-6,TRUE,gain,0.8904558367089663,TRUE,gain,TRUE,TRUE,TRUE,72,72,0.7769345045811028,2.1656130222424963e-9,1.8949113944621843e-8,TRUE,TRUE,primary_count_level,estimable_xena,72,72,72,0,0,TRUE,exact_match,overlap_estimable
