target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,endpoint,pseudo_target_statistic,empirical_p_plus1_leave_one_out,randomized_tie_rank_p,p_value_direction,n_reference_profiles_including_pseudo_target,calibration_note
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000084110,HAL,recurrent_loss,0.25,0.6520618556701031,0.430685376720839,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000084453,SLCO1A2,recurrent_loss,1,0.059278350515463915,0.05870526777784407,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000085840,ORC1,recurrent_loss,0,1,0.662690884298669,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000086967,MYBPC2,recurrent_loss,0,1,0.8817057185806334,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000089012,SIRPG,recurrent_loss,0,1,0.7124482752916106,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000089101,CFAP61,recurrent_loss,0.5,0.42010309278350516,0.39782379433325465,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000089723,OTUB2,recurrent_loss,0,1,0.85582340163654,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000091181,IL5RA,recurrent_loss,0.75,0.20103092783505155,0.10234326690245785,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000091536,MYO15A,recurrent_loss,0,1,0.8011225792363325,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000092853,CLSPN,recurrent_loss,0,1,0.8169234609045328,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000093009,CDC45,recurrent_loss,0,1,0.8772647611517219,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000095627,TDRD1,recurrent_loss,0.75,0.20103092783505155,0.15733845200276808,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000095777,MYO3A,recurrent_loss,0.5,0.42010309278350516,0.22310925687701663,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000099985,OSM,recurrent_loss,0,1,0.7717954126935568,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000101115,SALL4,recurrent_loss,0,1,0.7811020413394442,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000101162,TUBB1,recurrent_loss,0.5,0.42010309278350516,0.3893155340554154,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000101307,SIRPB1,recurrent_loss,0,1,0.988727393669926,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000101425,BPI,recurrent_loss,1,0.059278350515463915,0.0037535721047291743,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000101916,TLR8,recurrent_loss,0,1,0.8005814406511941,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000102245,CD40LG,recurrent_loss,0.25,0.6520618556701031,0.5593437453679088,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000102387,TAF7L,recurrent_loss,0.5,0.42010309278350516,0.3371068393738374,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000103313,MEFV,recurrent_loss,0,1,0.9597348646739661,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000103569,AQP9,recurrent_loss,0,1,0.8007686421954429,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000104237,RP1,recurrent_loss,0.75,0.20103092783505155,0.088208049928203,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000104901,DKKL1,recurrent_loss,0.25,0.6520618556701031,0.5893618806874975,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000104974,LILRA1,recurrent_loss,0,1,0.8013438012891392,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000105479,CCDC114,recurrent_loss,0.5,0.42010309278350516,0.2145550611774562,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000105672,ETV2,recurrent_loss,0.25,0.6520618556701031,0.6306799786386186,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000106336,FBXO24,recurrent_loss,0.25,0.6520618556701031,0.5730484123449754,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000107014,RLN2,recurrent_loss,0.5,0.42010309278350516,0.31835714620526057,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000107018,RLN1,recurrent_loss,0.5,0.42010309278350516,0.40108640120033484,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000107105,ELAVL2,recurrent_loss,0,1,0.8825962165371783,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000108576,SLC6A4,recurrent_loss,0.5,0.42010309278350516,0.3462091493876363,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000109101,FOXN1,recurrent_loss,0.75,0.20103092783505155,0.08240715305791381,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000109163,GNRHR,recurrent_loss,0,1,0.9850518316193724,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000109805,NCAPG,recurrent_loss,0,1,0.9839821349188551,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000110944,IL23A,recurrent_loss,0,1,0.6927327975437535,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000111837,MAK,recurrent_loss,0,1,0.8358006027320727,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000111981,ULBP1,recurrent_loss,0.25,0.6520618556701031,0.49710062353334095,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000112706,IMPG1,recurrent_loss,0.25,0.6520618556701031,0.5330245661688489,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000112742,TTK,recurrent_loss,0,1,0.844736033071255,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000112984,KIF20A,recurrent_loss,0,1,0.9578566255873626,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000114113,RBP2,recurrent_loss,0.75,0.20103092783505155,0.09770940891022976,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000114248,LRRC31,recurrent_loss,0,1,0.7424273636340903,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
CYP3A4,0.5,4,BRCA;KICH;KIRC;KIRP,ENSG00000114656,CFAP92,recurrent_loss,0,1,0.8124141841868813,upper,388,plus1 values are discrete/conservative; randomized tie ranks are used for the primary continuous-uniform diagnostic
