target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,endpoint,n_pseudo_targets,mean_p_plus1,fraction_p_plus1_le_005,ks_D_plus1_descriptive,ks_p_plus1_descriptive,mean_p_randomized,fraction_p_randomized_le_005,ks_D_randomized_primary,ks_p_randomized_primary,ks_interpretation
CYP3A4,0.6,5,COAD;KICH;KIRC;KIRP;STAD,recurrent_loss,269,0.6353560619670817,0.02973977695167286,0.35315985130111527,1.444470950315456e-29,0.4996088836364877,0.04460966542750929,0.027796032906901136,0.9854698167850651,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.7,6,BRCA;COAD;KICH;KIRC;KIRP;STAD,negative_median,155,0.5032258064516129,0.04516129032258064,0.006451612903225823,1,0.49985984349672746,0.05161290322580645,0.006449915408607398,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.7,6,BRCA;COAD;KICH;KIRC;KIRP;STAD,recurrent_gain,155,0.5782310093652445,0,0.2129032258064516,1.5793996955186727e-6,0.5004758206985573,0.06451612903225806,0.030766019856016458,0.9985413687492238,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.7,6,BRCA;COAD;KICH;KIRC;KIRP;STAD,recurrent_loss,155,0.6385015608740895,0.012903225806451613,0.37419354838709673,2.8173939727413097e-19,0.4965298400222616,0.03870967741935484,0.03541175599450301,0.990040978951766,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.8,7,BRCA;COAD;ESCA;KICH;KIRC;KIRP;STAD,negative_median,89,0.5056179775280899,0.0449438202247191,0.011235955056179803,1,0.499804661376343,0.0449438202247191,0.01116928888296484,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.8,7,BRCA;COAD;ESCA;KICH;KIRC;KIRP;STAD,recurrent_gain,89,0.5751799015275849,0,0.2134831460674157,5.996212392316996e-4,0.49640726486016135,0.056179775280898875,0.047192219812213776,0.9888463390446222,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A4,0.8,7,BRCA;COAD;ESCA;KICH;KIRC;KIRP;STAD,recurrent_loss,89,0.6220174220426714,0.02247191011235955,0.3258426966292135,1.2398017899405289e-8,0.5134000951901777,0.0449438202247191,0.055444120960519316,0.9472555162607212,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.5,6,BRCA;KICH;KIRC;KIRP;LUAD;LUSC,negative_median,134,0.503731343283582,0.04477611940298507,0.007462686567164201,1,0.4997443809412278,0.04477611940298507,0.007460428090807714,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.5,6,BRCA;KICH;KIRC;KIRP;LUAD;LUSC,recurrent_gain,134,0.623969703720205,0.03731343283582089,0.32089552238805974,2.0691820228025537e-12,0.49078338876183836,0.04477611940298507,0.05016761811262469,0.8887211713387339,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.5,6,BRCA;KICH;KIRC;KIRP;LUAD;LUSC,recurrent_loss,134,0.5869347293383828,0,0.23880597014925375,4.6073863408466873e-7,0.4925811314921718,0.04477611940298507,0.057281972402567695,0.7714708832109141,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.6,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC,negative_median,22,0.5227272727272727,0.045454545454545456,0.045454545454545525,0.9999999999808161,0.5046945387446553,0.045454545454545456,0.04425952772990893,0.9999999999955395,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.6,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC,recurrent_gain,22,0.6074380165289256,0.045454545454545456,0.2727272727272727,0.07580170098543883,0.5183157437463668,0.045454545454545456,0.1065195215103979,0.96418722753155,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A5,0.6,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC,recurrent_loss,22,0.5847107438016529,0,0.2727272727272727,0.07580170098543883,0.4801296999101712,0.09090909090909091,0.10685566228560421,0.9631741737065167,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.5,3,KICH;KIRC;KIRP,negative_median,759,0.5006587615283268,0.048748353096179184,0.0013175230566535578,1,0.5000074236626503,0.05006587615283267,0.0013152653825676433,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.5,3,KICH;KIRC;KIRP,recurrent_gain,759,0.689420411365763,0,0.5335968379446641,3.9184882474638565e-188,0.5059153919465323,0.05006587615283267,0.021606725277084737,0.8704905666513801,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.5,3,KICH;KIRC;KIRP,recurrent_loss,759,0.6258685844525336,0,0.27140974967061926,5.468475485753236e-49,0.4980082801912988,0.06324110671936758,0.020442421659729027,0.9089643958451057,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.6,3,KICH;KIRC;KIRP,negative_median,759,0.5006587615283268,0.048748353096179184,0.0013175230566535578,1,0.49999592042304747,0.05006587615283267,0.0013169944178980549,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.6,3,KICH;KIRC;KIRP,recurrent_gain,759,0.689420411365763,0,0.5335968379446641,3.9184882474638565e-188,0.5004032832936633,0.04743083003952569,0.015117330823893715,0.9950953654308077,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.6,3,KICH;KIRC;KIRP,recurrent_loss,759,0.6258685844525336,0,0.27140974967061926,5.468475485753236e-49,0.4984438017131084,0.06587615283267458,0.01942304156417567,0.9369823619094355,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.7,4,KICH;KIRC;KIRP;LUSC,negative_median,281,0.501779359430605,0.0498220640569395,0.003558718861210064,1,0.5000406200207462,0.0498220640569395,0.0035471198210340615,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.7,4,KICH;KIRC;KIRP;LUSC,recurrent_gain,281,0.6243841896632514,0,0.33807829181494664,2.536168149927512e-28,0.5049658941739659,0.046263345195729534,0.030473605834040463,0.9565918465002814,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.7,4,KICH;KIRC;KIRP;LUSC,recurrent_loss,281,0.6070845100745939,0,0.27402135231316727,9.421324569898787e-19,0.4925214789654766,0.042704626334519574,0.046557790071130103,0.5762513409467027,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.8,4,KICH;KIRC;KIRP;LUSC,negative_median,281,0.501779359430605,0.0498220640569395,0.003558718861210064,1,0.5000206687906446,0.0498220640569395,0.0035561099789333086,1,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.8,4,KICH;KIRC;KIRP;LUSC,recurrent_gain,281,0.6243841896632514,0,0.33807829181494664,2.536168149927512e-28,0.4954636335004476,0.03914590747330961,0.026823835379487137,0.9875199842729818,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
CYP3A7,0.8,4,KICH;KIRC;KIRP;LUSC,recurrent_loss,281,0.6070845100745939,0,0.27402135231316727,9.421324569898787e-19,0.49603896659326874,0.0498220640569395,0.031011916903341413,0.9498086301264652,"KS P values are diagnostics; pseudo-target values within a set are dependent, and the plus1 test is discrete"
