target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090238,YPEL3,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.2668594478685432,-0.23841995636991856,0.7249399843802309,0.8919180370453473,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090372,STRN4,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.3333932584801874,0.3421915816533231,0.6499802161001322,0.7601951763231461,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000090621,PABPC4,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.5117552118440734,0.44541457391433226,0.6996269150677553,0.8623380830448607,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000099864,PALM,5,breast;colon;kidney;lung;prostate,4,0.8,0,0,-1.5241835458487305,-1.2864148556067376,0.5653466054908224,0.6456923475327497,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100225,FBXO7,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.16671641906788365,-0.20248503984305036,0.5898510076025835,0.8101196434291479,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100299,ARSA,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,0.09154956675272122,-0.006012195204879017,0.8700772950473796,0.9920314104753476,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100401,RANGAP1,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.7037749452591806,0.6367080213623646,0.5980991360892197,0.9530220491924728,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100567,PSMA3,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.3462850443665534,0.27758123871318363,0.6693260438940206,0.7166252603115721,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000100632,ERH,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.6209832217626469,0.4842529559474534,0.641302113028179,0.7806585389177887,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000101474,APMAP,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.43132711752257735,0.45231913173848326,0.5703269736409049,0.7825603092799216,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000102038,SMARCA1,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.5809542352573619,-0.4254722329966141,0.7547860599352247,0.9258999873589338,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000102225,CDK16,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.4728285451784072,0.4122092827705301,0.5708979406395828,0.8047952587497065,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000102241,HTATSF1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.17235248199149383,0.08732279883759925,0.6530444438385575,0.8411292201666207,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000103197,TSC2,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.017642003575937537,0.09265751827445173,0.7278225544815754,0.865100986170317,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000104324,CPQ,5,breast;colon;kidney;lung;prostate,4,0.8,0,0,-0.6537832193180965,-0.6802182694536746,0.7451318164500579,0.8479376601437064,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000104812,GYS1,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.17212180377838532,0.31986262876982396,0.7162932693515327,0.8773321872459944,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000105443,CYTH2,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.32622642880623903,0.26331319319646534,0.7526607104206728,0.8275906000077392,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000106105,GARS1,5,breast;colon;kidney;lung;prostate,0,0,4,0.8,0.9382046237176052,0.8660341962518318,0.7795242166826418,0.859090042898365,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000106723,SPIN1,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.16006445864259675,-0.12603926612171948,0.7902026485768523,0.909775895715233,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000106803,SEC61B,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.24721417514776536,0.29723070390717793,0.8217745540133914,0.9276515967189964,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000107140,TESK1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.04073173204116635,0.0701989285431122,0.7446691835977792,0.9378500080205308,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000107745,MICU1,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.18472537538271705,-0.05602864494845003,0.6192698936478028,0.8496854068761283,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108100,CCNY,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.04571695165570533,-0.07514507961602376,0.8145628539312022,0.935891056202368,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108262,GIT1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.4069596660243449,0.41622068802141515,0.6656686200768626,0.9651727618536268,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108509,CAMTA2,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.4571023496684012,-0.383431363903957,0.766830367235982,0.9945435379708192,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108561,C1QBP,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.4700327026087649,0.39481443757948426,0.6133425362662008,0.8347706893528285,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108799,EZH1,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.50054769027935,-0.6450565615023112,0.7317278230198463,0.8034641185616131,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000108848,LUC7L3,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.09366756516011798,0.12406829636882107,0.7316762603504343,0.8723680258797043,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000111269,CREBL2,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.4953218666628553,-0.34292692756962956,0.49426333707137815,0.6935396531921247,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000112983,BRD8,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.132695048537689,0.1452312425873914,0.7256055552446913,0.8782962691266236,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000113387,SUB1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.04302595695156229,0.18420851294597035,0.48697485724735345,0.8780775186501881,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000113643,RARS1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.3678836450330183,0.4312822348633548,0.6065765548238035,0.824684449925364,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000113758,DBN1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.37477153251066553,0.39592041457180666,0.8327041815768635,0.9140294795577136,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000114626,ABTB1,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.3940476707181945,-0.4536910402301783,0.7637736207888509,0.9691807572383292,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000114686,MRPL3,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.7711796882669814,0.6766569584193816,0.6890596001271536,0.8046243606419468,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000115685,PPP1R7,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.01393418498797829,0.06496947880965724,0.5580379398104187,1.023156321712128,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000115866,DARS1,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.5893024771559356,0.42651527469832606,0.4448200303814193,0.5069042504327664,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000116221,MRPL37,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.47938105096727135,0.49883502758345344,0.8350927792415688,0.9644842331439608,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000116898,MRPS15,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.25915710142157233,0.26922656060705863,0.6252540829060508,0.8516071465521194,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000119669,IRF2BPL,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.16592756403625888,-0.18506243739494235,0.791802675133059,0.923545941688089,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000122490,SLC66A2,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.48660747952915784,-0.43440818063225217,0.8148600017663209,0.9129717291178532,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000122565,CBX3,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.9452369768299858,0.7602955036595389,0.5112594467973871,0.8137928809838019,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000122642,FKBP9,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.2931752175097469,0.20481727896530016,0.6213120117695388,0.7767212344439139,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000123933,MXD4,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,-0.2570783700459461,-0.19031584737142784,0.54257545444693,0.7782083310930104,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000124181,PLCG1,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.12152162595921052,0.32750665083932806,0.7917957498751843,0.9506873872128256,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000124207,CSE1L,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.8974116934705906,0.6879892359204017,0.6221847505656903,0.8934491777772098,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000124226,RNF114,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.011439951206307461,0.22691929690852897,0.6007847615441347,0.7651164098079889,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000124702,KLHDC3,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.03439424005883913,0.01714973041619707,0.6262137787438132,0.8251705034671394,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000125977,EIF2S2,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.49591750201354895,0.47959368559223964,0.595131111261602,0.6427442982926402,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000126457,PRMT1,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.3925806519138255,0.5399563351073532,0.5874137012744416,0.7417229482421951,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000128928,IVD,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.21996065647034216,-0.22698477814716278,0.7659091144927368,0.9424315339333804,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000128989,ARPP19,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.03085943189451932,-0.06182212989126646,0.7723971938965658,0.9193942926482536,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000129515,SNX6,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.03539830337288989,-0.028699322308190306,0.7402171531794329,0.8924423501795835,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000131473,ACLY,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.5977669806549281,0.689701539859749,0.5497741996512975,0.8765773062496003,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000131669,NINJ1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.009515872811765927,0.0984979818865328,0.6089275123543731,0.7996163441084629,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000132153,DHX30,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.17311930537891326,0.24684493300941465,0.7934194903796169,0.9640542707256576,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000132823,OSER1,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.3004588695358094,0.3803636310346771,0.6256909934667052,0.8343664269174194,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000133275,CSNK1G2,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.3114036941867854,0.4094288795416545,0.6047295623751039,0.875382000158216,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000135446,CDK4,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.47375405955603134,0.7411869645019643,0.7410438936681342,0.9293642351996748,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000136628,EPRS1,5,breast;colon;kidney;lung;prostate,0,0,2,0.4,0.41057929287030864,0.5518905414210058,0.7383466419781494,0.9135534758622806,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000136813,ECPAS,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.0442158441625665,0.06631467240631067,0.6040591392832959,0.8854995592628927,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000136877,FPGS,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.12654082051988755,0.2963394727721289,0.8430462546266896,0.9642935646421008,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000137106,GRHPR,5,breast;colon;kidney;lung;prostate,1,0.2,0,0,0.01216504630580599,-0.05596890419586246,0.7994219791547508,0.911657568089832,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000137161,CNPY3,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.6114682572700354,0.5113211446475796,0.7257579057781948,0.8306078450198449,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000137200,CMTR1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.047516248324911844,0.07905269828300829,0.6464922403884675,0.9789635551178637,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000138363,ATIC,5,breast;colon;kidney;lung;prostate,0,0,3,0.6,0.9365450965795864,0.6458274623985599,0.5882893409879038,0.6875172547106767,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000138385,SSB,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.17683266544634016,0.24668645323000785,0.6420050751733632,0.8581467630415244,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000138448,ITGAV,5,breast;colon;kidney;lung;prostate,0,0,1,0.2,0.1356418675624651,0.32037512809336743,0.7871530458869409,0.9105675807242944,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000138768,USO1,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.18724223229570125,0.1436298758825848,0.5068013940903666,0.7173143250804852,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000138801,PAPSS1,5,breast;colon;kidney;lung;prostate,1,0.2,1,0.2,0.06054938355487061,-0.01876933359017465,0.7217896675208901,0.9484391850288914,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000141644,MBD1,5,breast;colon;kidney;lung;prostate,0,0,0,0,-0.1600108289031348,-0.06289295667750008,0.7731713389260846,0.960373379318184,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000141985,SH3GL1,5,breast;colon;kidney;lung;prostate,0,0,4,0.8,0.6690178532672366,0.5440186509447005,0.7757132756266412,0.954290900134692,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000142188,TMEM50B,5,breast;colon;kidney;lung;prostate,2,0.4,0,0,-0.43076453319463054,-0.4728373583888862,0.7513122067725576,0.8472401143211744,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000143862,ARL8A,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.09507015821340031,0.22169293269172088,0.8050496073466625,0.9494916813255306,TRUE
MAOB,0.5,5,breast;colon;kidney;lung;prostate,ENSG00000146729,NIPSNAP2,5,breast;colon;kidney;lung;prostate,0,0,0,0,0.07176285186192358,0.16745156768901173,0.5028545415369805,0.83933331011479,TRUE
