gene,minimum_coverage_fraction,n_target_contexts_total,original_target_contexts,common_denominator_n,actual_common_coverage_fraction,selected_common_contexts,excluded_target_contexts,n_sets_tied_for_maximum,observed_full_n_loss,observed_full_loss_fraction,observed_full_n_gain,observed_full_gain_fraction,observed_full_median_logFC,observed_common_n_loss,observed_common_loss_fraction,observed_common_n_gain,observed_common_gain_fraction,observed_common_median_logFC,minimum_coverage_cancers,n_cancers,observed_n_loss,observed_loss_fraction,observed_n_gain,observed_gain_fraction,observed_median_logFC,n_candidate_genes,null_median_loss_fraction,null_median_gain_fraction,null_median_logFC,p_recurrent_loss,p_median_negative,p_recurrent_gain,status,endpoint_hierarchy,n_targets_in_BH_recurrent_loss,n_targets_in_BH_median_negative,n_targets_in_BH_recurrent_gain,q_recurrent_loss,q_median_negative,q_recurrent_gain,q_recurrent_loss_global_across_coverages,q_median_negative_global_across_coverages,q_recurrent_gain_global_across_coverages,within_coverage_BH_note,global_BH_note,coverage_role
MAOB,0.8,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,10,0.8333333333333334,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,LIHC;THCA,1,11,0.9166666666666666,1,0.08333333333333333,-1.5034031946109587,9,0.9,1,0.1,-1.7077531780867683,10,10,9,0.9,1,0.1,-1.7077531780867683,40,0,0,0.11032199803365256,0.04878048780487805,0.024390243902439025,0.4878048780487805,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.07317073170731708,0.03658536585365854,0.9,0.11382113821138212,0.05761316872427984,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint,legacy prespecified 80% row; interpret with complete-set sensitivity
CYP3A4,0.8,8,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;STAD,7,0.875,BRCA;COAD;ESCA;KICH;KIRC;KIRP;STAD,LIHC,1,6,0.75,1,0.125,-2.0582567384576542,5,0.7142857142857143,1,0.14285714285714285,-1.926103995861374,7,7,5,0.7142857142857143,1,0.14285714285714285,-1.926103995861374,89,0.14285714285714285,0.2857142857142857,0.1933474041548866,0.03333333333333333,0.022222222222222223,0.9,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.07317073170731708,0.03658536585365854,0.9,0.09333333333333332,0.05761316872427984,0.9,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint,legacy prespecified 80% row; interpret with complete-set sensitivity
CYP3A5,0.8,12,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD;THCA,10,0.8333333333333334,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,LIHC;THCA,1,3,0.25,2,0.16666666666666666,-0.2602645764453485,2,0.2,2,0.2,-0.25709036934193996,10,10,2,0.2,2,0.2,-0.25709036934193996,5,0.1,0.4,0.40348405427356693,,,,insufficient_common_set_candidates,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,,,,,,,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint,legacy prespecified 80% row; interpret with complete-set sensitivity
CYP3A7,0.8,5,KICH;KIRC;KIRP;LIHC;LUSC,4,0.8,KICH;KIRC;KIRP;LUSC,LIHC,1,3,0.6,1,0.2,-1.7743696974805263,2,0.5,1,0.25,-1.1268089694128731,4,4,2,0.5,1,0.25,-1.1268089694128731,281,0.5,0.25,-0.38039552224900797,0.5354609929078015,0.32978723404255317,0.6631205673758865,estimable_denominator_aligned_null,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,0.5354609929078015,0.32978723404255317,0.9,0.749645390070922,0.4617021276595744,0.8439716312056738,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint,legacy prespecified 80% row; interpret with complete-set sensitivity
CYP3A43,0.8,2,LIHC;PRAD,2,1,,,,2,1,0,0,-1.783095439494844,,,,,,2,2,,,,,,,,,,,,,insufficient_target_contexts,"primary=recurrent_loss;supplementary=negative_median,recurrent_gain",3,3,3,,,,,,,BH across estimable targets at this coverage and endpoint,sensitivity-only BH across every estimable target-by-coverage test for the named endpoint,legacy prespecified 80% row; interpret with complete-set sensitivity
