target_gene,context,logFC,constituent_cancers,n_constituent_cancers,record_type
MAOB,kidney,0.4922278464629192,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.7415452478101432,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.6276697425177875,PRAD,1,background_organ_value
MAOB,liver,-0.7837312790383855,LIHC,1,background_organ_value
MAOB,breast,-2.1706312685225595,BRCA,1,background_organ_value
MAOB,breast,0.1929382138398675,BRCA,1,background_organ_value
MAOB,colon,0.2497542471733604,COAD,1,background_organ_value
MAOB,lung,0.4948210055078156,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.01433474494756884,PRAD,1,background_organ_value
MAOB,stomach,0.00515429596914743,STAD,1,background_organ_value
MAOB,thyroid,0.867635024625414,THCA,1,background_organ_value
