target_gene,context,logFC,constituent_cancers,n_constituent_cancers,record_type
MAOB,prostate,-0.39339089379168063,PRAD,1,background_organ_value
MAOB,stomach,-0.07602662123944946,STAD,1,background_organ_value
MAOB,lung,0.5928979482708463,LUAD;LUSC,2,background_organ_value
MAOB,breast,-0.9527862843182218,BRCA,1,background_organ_value
MAOB,colon,-1.1952079289658986,COAD,1,background_organ_value
MAOB,stomach,-1.0454858484793168,STAD,1,background_organ_value
MAOB,colon,-0.14384225540722778,COAD,1,background_organ_value
MAOB,lung,0.1287610952727875,LUAD,1,background_organ_value
MAOB,colon,0.2344339108379107,COAD,1,background_organ_value
MAOB,kidney,0.22431301640154525,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.4104717966450191,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.3062770888457029,PRAD,1,background_organ_value
MAOB,breast,0.28700543221081953,BRCA,1,background_organ_value
MAOB,lung,0.44692945110498106,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.5955995926911243,PRAD,1,background_organ_value
MAOB,stomach,0.688947245903431,STAD,1,background_organ_value
MAOB,breast,0.6037361753192504,BRCA,1,background_organ_value
MAOB,colon,-0.23441085411895973,COAD,1,background_organ_value
MAOB,esophagus,0.3690608439468177,ESCA,1,background_organ_value
MAOB,kidney,0.6888377796884415,KICH;KIRC,2,background_organ_value
MAOB,lung,1.05959657283574,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.2317886320005031,PRAD,1,background_organ_value
MAOB,breast,0.08821385606274573,BRCA,1,background_organ_value
MAOB,colon,0.1926171859318681,COAD,1,background_organ_value
MAOB,esophagus,0.2414693664040526,ESCA,1,background_organ_value
MAOB,kidney,0.1849192593633778,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.3038184242922668,LUAD;LUSC,2,background_organ_value
MAOB,prostate,0.1752053384477592,PRAD,1,background_organ_value
MAOB,stomach,0.07418541418890608,STAD,1,background_organ_value
MAOB,breast,-0.5188166767492393,BRCA,1,background_organ_value
MAOB,esophagus,-0.3430121619806612,ESCA,1,background_organ_value
MAOB,prostate,-0.5250709835036078,PRAD,1,background_organ_value
MAOB,stomach,-0.37525198899611695,STAD,1,background_organ_value
MAOB,colon,0.7874152678258349,COAD,1,background_organ_value
MAOB,esophagus,0.5592765083253752,ESCA,1,background_organ_value
MAOB,lung,0.6532712314087511,LUAD;LUSC,2,background_organ_value
MAOB,esophagus,-0.00690787048967054,ESCA,1,background_organ_value
MAOB,esophagus,0.46227023203853473,ESCA,1,background_organ_value
MAOB,kidney,0.6391485537853975,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-0.178104004738295,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.6903530837153782,PRAD,1,background_organ_value
MAOB,stomach,0.44276643177027375,STAD,1,background_organ_value
MAOB,liver,-1.1409005813242112,LIHC,1,background_organ_value
MAOB,colon,-0.04187867624772937,COAD,1,background_organ_value
MAOB,esophagus,0.2698869839020841,ESCA,1,background_organ_value
MAOB,lung,-0.3807809021323889,LUAD;LUSC,2,background_organ_value
MAOB,stomach,-0.22280994785776703,STAD,1,background_organ_value
MAOB,thyroid,1.139504009090706,THCA,1,background_organ_value
MAOB,prostate,0.4861877505315639,PRAD,1,background_organ_value
MAOB,kidney,-1.1720189814975237,KIRC;KIRP,2,background_organ_value
MAOB,thyroid,0.03019746232274331,THCA,1,background_organ_value
MAOB,thyroid,-0.5765575939599479,THCA,1,background_organ_value
MAOB,thyroid,-0.13129159998155474,THCA,1,background_organ_value
MAOB,breast,0.07117752690030749,BRCA,1,background_organ_value
MAOB,colon,0.06135477485511241,COAD,1,background_organ_value
MAOB,esophagus,-0.5702995667420938,ESCA,1,background_organ_value
MAOB,kidney,-0.29552047365702705,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,0.34430408438185767,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.34941919952413353,PRAD,1,background_organ_value
MAOB,liver,-1.5034826623398871,LIHC,1,background_organ_value
MAOB,kidney,2.2811239856777057,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-2.1929635671760894,LUAD;LUSC,2,background_organ_value
MAOB,stomach,-3.1024803963385317,STAD,1,background_organ_value
MAOB,liver,-0.17417487327580988,LIHC,1,background_organ_value
MAOB,breast,0.8643288179517595,BRCA,1,background_organ_value
MAOB,kidney,-0.3116190664144455,KIRC;KIRP,2,background_organ_value
MAOB,stomach,0.6378759028652641,STAD,1,background_organ_value
MAOB,thyroid,2.3878663721299223,THCA,1,background_organ_value
MAOB,esophagus,-0.0853916804035368,ESCA,1,background_organ_value
MAOB,stomach,-0.6864706113915638,STAD,1,background_organ_value
MAOB,breast,0.2861750346460917,BRCA,1,background_organ_value
MAOB,kidney,-0.04875780449121551,KICH;KIRC;KIRP,3,background_organ_value
MAOB,liver,-0.5401967673404566,LIHC,1,background_organ_value
MAOB,prostate,0.32900849312201963,PRAD,1,background_organ_value
MAOB,breast,-0.6744588052635503,BRCA,1,background_organ_value
MAOB,esophagus,0.10450775814864692,ESCA,1,background_organ_value
MAOB,prostate,-0.459212273217993,PRAD,1,background_organ_value
MAOB,stomach,-0.4813590201813935,STAD,1,background_organ_value
MAOB,colon,0.11355509905694848,COAD,1,background_organ_value
MAOB,esophagus,-0.20207772783340883,ESCA,1,background_organ_value
MAOB,liver,-1.3138575194598825,LIHC,1,background_organ_value
MAOB,breast,-0.4497169378293139,BRCA,1,background_organ_value
MAOB,esophagus,-1.5463505705819305,ESCA,1,background_organ_value
MAOB,kidney,-0.599251010449363,KICH;KIRC;KIRP,3,background_organ_value
MAOB,lung,-1.7335244061337414,LUAD;LUSC,2,background_organ_value
MAOB,prostate,-0.6615997167484671,PRAD,1,background_organ_value
MAOB,breast,0.24956672322287385,BRCA,1,background_organ_value
MAOB,esophagus,0.6287938266582628,ESCA,1,background_organ_value
MAOB,prostate,-1.2578955010114108,PRAD,1,background_organ_value
MAOB,stomach,-0.919158383580966,STAD,1,background_organ_value
MAOB,liver,-0.5497201444250639,LIHC,1,background_organ_value
MAOB,stomach,-0.5980664000422207,STAD,1,background_organ_value
MAOB,liver,-1.4087051200884395,LIHC,1,background_organ_value
MAOB,kidney,-0.3516164149215677,KICH;KIRC,2,background_organ_value
MAOB,liver,-0.2503264372904582,LIHC,1,background_organ_value
MAOB,stomach,0.3525910788572961,STAD,1,background_organ_value
MAOB,liver,-0.4221625460456355,LIHC,1,background_organ_value
MAOB,colon,-0.3032254766091148,COAD,1,background_organ_value
MAOB,esophagus,0.47865678398711314,ESCA,1,background_organ_value
MAOB,stomach,0.2929768903013041,STAD,1,background_organ_value
MAOB,breast,-0.29652181541930644,BRCA,1,background_organ_value
