target_gene,minimum_coverage_fraction,common_denominator_n,selected_common_contexts,background_gene_id,background_gene_symbol,n_contexts,contexts,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,denominator_aligned
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000071462,BUD23,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,2,0.3333333333333333,0.451592104929311,0.40323013427159843,0.6965713010666705,0.9045131753215254,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000071894,CPSF1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.5826430771459599,0.5086333414932824,0.6802626119993864,0.8641819856727864,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000072310,SREBF1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,4,0.6666666666666666,0.671300710957963,0.7409853523028864,0.7332119238027938,0.8637275690802774,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000074695,LMAN1,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.493443707289858,0.43937892048864147,0.6461799970424522,0.8220164700424079,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000074842,MYDGF,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,3,0.5,0.6221227698511717,0.6537920133142601,0.7553981598942353,0.8540584124980908,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000074964,ARHGEF10L,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.5045257690167448,-0.41136506102569154,0.7028268353342505,0.826940686102652,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000076043,REXO2,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,2,0.3333333333333333,0.21838986728138227,0.18735408262968428,0.7622000351785913,0.9619424984775584,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000078618,NRDC,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,0.41288766849971426,0.40735511397921537,0.8427809807603018,0.9404505287165642,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000078902,TOLLIP,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,-0.1483322012760312,-0.048801778392791734,0.6083321107308469,0.7002130872804706,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000079432,CIC,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.2825834631342278,0.25388338345727524,0.6879055339332295,0.8409535586855719,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000082996,RNF13,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,1,0.16666666666666666,0,0,0.04707766410234815,-0.08328095547266519,0.6269398344952872,0.7325177412717915,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000084733,RAB10,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.2708241875188959,0.35535130884061084,0.4665806689955233,0.5954882824226424,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000086666,ZFAND6,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,0,0,-0.07268445572560638,-0.03770968016066627,0.8158162843245087,0.9297642949085416,TRUE
MAOB,0.5,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,ENSG00000087087,SRRT,6,KICH;KIRC;KIRP;LUAD;LUSC;PRAD,0,0,1,0.16666666666666666,0.1099071186392964,0.25127681174412697,0.5487518281125371,0.8790640260073727,TRUE
