tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,bootstrap_p_two_sided,status,organ,bootstrap_q_primary,passes_coexpression_effect,bootstrap_robust,rewiring_direction,n_pairs_permutation,observed_rho_normal_from_cache,observed_rho_tumor_from_cache,observed_delta_rho_from_cache,n_permutations_requested,n_permutations_valid,permutation_p_two_sided,permutation_monte_carlo_se,permutation_null_median_delta_rho,permutation_null_q025,permutation_null_q975,permutation_scheme,q_permutation_primary,n_cells_in_permutation_BH,permutation_passes_effect,permutation_robust,permutation_status,robust_call_agreement,robust_call_comparison
ESCA,CYP3A43,13,1,1,0.9230769230769232,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
ESCA,CYP3A5,13,1,1,1,1,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
ESCA,CYP3A7,13,1,1,0.9230769230769232,0.9230769230769232,,,,,,,,insufficient_n_lt20,esophagus,,FALSE,FALSE,not_estimable,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
HNSC,CYP3A4,43,1,1,1,0.8604651162790697,-0.1757777106614316,-0.03296415390546906,0.14281355675596255,2000,-0.27095300955952517,0.5386615135940077,0.5527236381809095,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust,43,-0.1757777106614316,-0.032964153905469064,0.14281355675596255,5000,5000,0.40451909618076387,0.006940248265874497,0.0051331310792052665,-0.3365347544650299,0.3242726162608111,joint within-patient normal/tumor label swap for both genes,0.6472305538892222,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
HNSC,CYP3A43,43,1,1,0.4883720930232558,0.4883720930232558,0.05694938379759179,-0.09897186357986036,-0.15592124737745217,2000,-0.6313106881474574,0.3225496079893159,0.5427286356821589,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust,43,0.05694938379759179,-0.09897186357986036,-0.15592124737745217,5000,5000,0.5298940211957609,0.0070577126066383505,0.006116678635388912,-0.4787575420100043,0.46420939414752843,joint within-patient normal/tumor label swap for both genes,0.756991458851087,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
HNSC,CYP3A5,43,1,1,1,1,-0.3953488372093024,-0.159468438538206,0.23588039867109636,2000,-0.21635930909562495,0.68353382283167885,0.33883058470764615,primary_n_ge_30,head and neck,0.645391589919326,TRUE,FALSE,not_robust,43,-0.39534883720930236,-0.159468438538206,0.23588039867109636,5000,5000,0.29314137172565485,0.00643689481494917,-0.0020386590154032047,-0.4399086378737541,0.4267970401691327,joint within-patient normal/tumor label swap for both genes,0.5583645175726759,40,TRUE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
HNSC,CYP3A7,43,1,1,0.5813953488372093,0.5581395348837209,0.11850703377799218,-0.05086415380535825,-0.16937118758335043,2000,-0.5963006226097137,0.2658880942022906,0.4747626186906546,primary_n_ge_30,head and neck,0.7369648509078793,FALSE,FALSE,not_robust,43,0.11850703377799218,-0.05086415380535825,-0.16937118758335043,5000,5000,0.4285142971405719,0.006997725717995372,-7.003119092195628e-4,-0.38346763262577527,0.4162474999796862,joint within-patient normal/tumor label swap for both genes,0.6592527648316491,40,FALSE,FALSE,primary_permutation_estimable,TRUE,not_robust_by_either
KICH,CYP3A4,25,1,1,1,0.92,0.7361538461538462,-0.2185035624185419,-0.954657408572388,2000,-1.3790080008329335,-0.4121089600919019,9.995002498750624e-4,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
KICH,CYP3A43,25,1,1,0.96,0.84,-0.06307692307692307,-0.10469595096126127,-0.04161902788433822,2000,-0.5792561184730057,0.5588120486418969,0.9075462268865568,exploratory_n_20_29,kidney,,FALSE,FALSE,not_robust,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
KICH,CYP3A5,25,1,1,1,1,0.5107692307692309,-0.07307692307692308,-0.5838461538461539,2000,-1.0468328315983535,-0.01716281190616336,0.04497751124437781,exploratory_n_20_29,kidney,,TRUE,FALSE,not_robust,,,,,,,,,,,,,,,,,not_in_primary_permutation_family,,not_primary
