tcga_code,organ,gene,n_pairs,logFC,p_value,q_value_global,robust_count_level_change,baseline_tpm,baseline_log2_tpm1,tau,breadth_1tpm,matched_gtex_tissues
BRCA,breast,MAOB,113,-2.1583680889801524,1.6987749026646565e-16,1.8261830203645057e-15,TRUE,70.224,6.154291555835664,0.7595819301901545,0.9444444444444444,Breast - Mammary Tissue
BRCA,breast,CYP3A4,113,-2.1904094810539343,2.9809283537107817e-19,1.2817991920956362e-17,TRUE,0.240634,0.3110775681161671,0.9964085738630708,0.12962962962962962,Breast - Mammary Tissue
BRCA,breast,CYP3A5,113,-0.2904503092437013,1.1623583077338923e-5,1.9223618166368217e-5,FALSE,5.13068,2.616047102989291,0.9437232781882395,0.5370370370370371,Breast - Mammary Tissue
COAD,colon,MAOB,41,-2.70789628870493,5.3072839635668855e-12,2.2821321043337606e-11,TRUE,53.3664,5.764643394715486,0.7595819301901545,0.9444444444444444,Colon - Sigmoid;Colon - Transverse
COAD,colon,CYP3A4,41,-2.9215306840079713,1.0346467169079338e-6,2.02226403759278e-6,TRUE,0.230075,0.2987462820924464,0.9964085738630708,0.12962962962962962,Colon - Sigmoid;Colon - Transverse
COAD,colon,CYP3A5,41,-0.19820252968770222,0.281975976119834,0.3108965890552016,FALSE,15.347895,4.031032977181317,0.9437232781882395,0.5370370370370371,Colon - Sigmoid;Colon - Transverse
ESCA,esophagus,MAOB,13,-1.447021388863092,0.012481126941171665,0.015333955956296618,TRUE,90.278,6.512195275846861,0.7595819301901545,0.9444444444444444,Esophagus - Gastroesophageal Junction;Esophagus - Mucosa;Esophagus - Muscularis
ESCA,esophagus,CYP3A4,13,-0.41440373079989606,0.4795391978792537,0.5029313538733636,FALSE,0.1491,0.2005043534465213,0.9964085738630708,0.12962962962962962,Esophagus - Gastroesophageal Junction;Esophagus - Mucosa;Esophagus - Muscularis
ESCA,esophagus,CYP3A5,13,-0.39199569808975593,0.35441874469053924,0.38100015054232966,FALSE,2.02717,1.5979696963977392,0.9437232781882395,0.5370370370370371,Esophagus - Gastroesophageal Junction;Esophagus - Mucosa;Esophagus - Muscularis
KICH,kidney,MAOB,25,-4.277630302455459,4.4363704756761176e-7,1.0040206866003845e-6,TRUE,37.6169,5.271160450420547,0.7595819301901545,0.9444444444444444,Kidney - Cortex
KICH,kidney,CYP3A4,25,1.782107097062945,0.026500563777300437,0.03165345117844219,TRUE,0.213872,0.2796163007524594,0.9964085738630708,0.12962962962962962,Kidney - Cortex
KICH,kidney,CYP3A5,25,-0.09704918525757157,0.7167078712338939,0.7167078712338939,FALSE,8.15326,3.194285661232413,0.9437232781882395,0.5370370370370371,Kidney - Cortex
KICH,kidney,CYP3A7,25,2.490823303182836,6.149450135884718e-5,9.443798422965819e-5,TRUE,0.687882,0.7552140486153798,0.9920989699539168,0.05555555555555555,Kidney - Cortex
KIRC,kidney,MAOB,72,0.8048316374358927,8.690250755021623e-7,1.7794322974568083e-6,TRUE,37.6169,5.271160450420547,0.7595819301901545,0.9444444444444444,Kidney - Cortex
KIRC,kidney,CYP3A4,72,-1.926103995861374,9.368131975507784e-10,3.0986898072833436e-9,TRUE,0.213872,0.2796163007524594,0.9964085738630708,0.12962962962962962,Kidney - Cortex
KIRC,kidney,CYP3A5,72,1.4618337550315275,2.1654931685495496e-12,1.163952578095383e-11,TRUE,8.15326,3.194285661232413,0.9437232781882395,0.5370370370370371,Kidney - Cortex
KIRC,kidney,CYP3A7,72,-0.4792482413452199,0.03875291787109222,0.04503717482316122,FALSE,0.687882,0.7552140486153798,0.9920989699539168,0.05555555555555555,Kidney - Cortex
KIRP,kidney,MAOB,32,-0.8481437556344779,0.009757808308207001,0.012714719916754578,TRUE,37.6169,5.271160450420547,0.7595819301901545,0.9444444444444444,Kidney - Cortex
KIRP,kidney,CYP3A4,32,-1.834353719537459,1.7432063648900432e-4,2.5847542651817883e-4,TRUE,0.213872,0.2796163007524594,0.9964085738630708,0.12962962962962962,Kidney - Cortex
KIRP,kidney,CYP3A5,32,1.7552260874981467,5.745921214502181e-6,9.882984488943751e-6,TRUE,8.15326,3.194285661232413,0.9437232781882395,0.5370370370370371,Kidney - Cortex
KIRP,kidney,CYP3A7,32,-1.7743696974805265,2.2616961077624408e-4,3.241764421126165e-4,TRUE,0.687882,0.7552140486153798,0.9920989699539168,0.05555555555555555,Kidney - Cortex
LIHC,liver,MAOB,50,-0.9141250816916641,2.0858220305738105e-9,6.406453379619561e-9,TRUE,99.7081,6.654035914428958,0.7595819301901545,0.9444444444444444,Liver
LIHC,liver,CYP3A4,50,-7.284966075661003,1.597550322869685e-17,2.2898221294465483e-16,TRUE,335.297,8.393592098866913,0.9964085738630708,0.12962962962962962,Liver
LIHC,liver,CYP3A5,50,-1.055955835712751,5.510914977836955e-7,1.1848467202349453e-6,TRUE,155.853,7.293269312477009,0.9437232781882395,0.5370370370370371,Liver
LIHC,liver,CYP3A7,50,-1.8042319330231502,4.82663328297896e-5,7.686860413633159e-5,TRUE,24.5131,4.6731663008801325,0.9920989699539168,0.05555555555555555,Liver
LIHC,liver,CYP3A43,50,-2.8537130033334575,7.170658928126736e-12,2.8030757628131786e-11,TRUE,4.28768,2.4026348704193086,0.9588837795202965,0.05555555555555555,Liver
LUAD,lung,MAOB,58,-1.5021946041796652,6.383844730167618e-15,5.4901064679441514e-14,TRUE,58.3808,5.891924624861612,0.7595819301901545,0.9444444444444444,Lung
LUAD,lung,CYP3A5,58,-0.3332621167777662,0.10114351961338863,0.11445187745725556,FALSE,17.5528,4.213565030589169,0.9437232781882395,0.5370370370370371,Lung
LUSC,lung,MAOB,51,-2.240749604167458,4.941214352875618e-18,1.0623610858682579e-16,TRUE,58.3808,5.891924624861612,0.7595819301901545,0.9444444444444444,Lung
LUSC,lung,CYP3A5,51,-0.99559653632554,2.497350686667581e-9,7.159071968447066e-9,TRUE,17.5528,4.213565030589169,0.9437232781882395,0.5370370370370371,Lung
LUSC,lung,CYP3A7,51,-2.6581924619032002,2.7328427456864017e-14,1.8028016872884673e-13,TRUE,1.68354,1.4241373926280432,0.9920989699539168,0.05555555555555555,Lung
PRAD,prostate,MAOB,52,-1.3230157448894477,2.2349894747978983e-10,8.008712284692469e-10,TRUE,58.8878,5.904190230252803,0.7595819301901545,0.9444444444444444,Prostate
PRAD,prostate,CYP3A5,52,-1.4360464349641855,2.934793444423086e-14,1.8028016872884673e-13,TRUE,42.5218,5.443666320532872,0.9437232781882395,0.5370370370370371,Prostate
PRAD,prostate,CYP3A43,52,-0.7124778756562306,0.01139238692180603,0.014408018754048802,TRUE,0.655112,0.7269288462635529,0.9588837795202965,0.05555555555555555,Prostate
