gene_id,gene_symbol,max_tpm,cross_tissue_median_tpm,tau,breadth_0_1tpm,breadth_1tpm
ENSG00000069535,MAOB,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
ENSG00000160868,CYP3A4,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
ENSG00000106258,CYP3A5,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
ENSG00000160870,CYP3A7,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
ENSG00000021461,CYP3A43,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
