tcga_code,organ,gene,n_background,matching_status,median_matching_distance,maximum_matching_distance,target_baseline_log2_tpm1,background_median_baseline_log2_tpm1,difference_baseline_log2_tpm1,target_tau,background_median_tau,difference_tau,target_breadth_1tpm,background_median_breadth_1tpm,difference_breadth_1tpm,target_organ_specificity_log2,background_median_organ_specificity_log2,difference_organ_specificity_log2,target_mean_normal_logcpm,background_median_normal_logcpm,difference_normal_logcpm
BRCA,breast,MAOB,1000,estimable:within_caliper,0.8432096226545315,1.0288761185998052,6.154291555835664,5.691069722887432,0.46322183294823205,0.7595819301901545,0.7178899423514282,0.0416919878387263,0.9444444444444444,1,-0.05555555555555558,0.361452007046552,0.30237158840100076,0.05908041864555125,7.420691803259547,6.661219925255802,0.7594718780037448
BRCA,breast,CYP3A4,1000,estimable:within_caliper,0.7286796365472972,1.0378564451150312,0.3110775681161671,0.27950694571487644,0.03157062240129066,0.9964085738630708,0.9729302898013814,0.023478284061689392,0.12962962962962962,0.10185185185185185,0.027777777777777776,0.48202732989960634,0.2610869506020646,0.22094037929754173,-1.6494149902328261,-1.3645344891130033,-0.28488050111982277
BRCA,breast,CYP3A5,1000,estimable:within_caliper,1.3088789140289778,1.6408581274676817,2.616047102989291,2.1314161224014176,0.48463098058787324,0.9437232781882395,0.9166305931642356,0.02709268502400397,0.5370370370370371,0.6111111111111112,-0.07407407407407407,1.6661203257642114,1.2051455802322344,0.46097474553197704,2.521356275977924,2.5528328001590013,-0.03147652418107727
COAD,colon,MAOB,1000,estimable:within_caliper,0.7860672335457193,0.9261978003727919,5.764643394715486,5.05106534285335,0.713578051862136,0.7595819301901545,0.7367954902016018,0.022786439988552676,0.9444444444444444,1,-0.05555555555555558,-0.03393258521054223,0.047001136588315104,-0.08093372179885733,4.7025312013267255,5.290240438773841,-0.5877092374471156
COAD,colon,CYP3A4,1000,estimable:within_caliper,0.9953921052413104,1.3381808666045154,0.2987462820924464,0.43123403969140434,-0.13248775759895792,0.9964085738630708,0.9595304966629521,0.03687807720011871,0.12962962962962962,0.16666666666666666,-0.037037037037037035,0.4365987591650339,0.33150254957548586,0.10509620958954802,0.9983408190643468,-0.028091822491158863,1.0264326415555056
COAD,colon,CYP3A5,458,estimable:within_caliper,1.5965959322794205,1.9996674758706854,4.031032977181317,3.396665095918504,0.6343678812628131,0.9437232781882395,0.9147376515623474,0.028985626625892102,0.5370370370370371,0.5740740740740741,-0.03703703703703698,3.228460171807265,2.6344837277022304,0.5939764441050346,5.720869585517818,4.869090475475468,0.85177911004235
ESCA,esophagus,MAOB,1000,estimable:within_caliper,0.9792935534858516,1.1547894967257832,6.512195275846861,5.668773995329746,0.8434212805171155,0.7595819301901545,0.7322640040064483,0.02731792618370621,0.9444444444444444,1,-0.05555555555555558,0.7234065058955776,0.4923892927720117,0.23101721312356593,5.35743089173555,5.610582838222637,-0.25315194648708683
ESCA,esophagus,CYP3A4,1000,estimable:within_caliper,0.6468920897230712,0.9940635400425339,0.2005043534465213,0.14098407949806266,0.05952027394845863,0.9964085738630708,0.9731927047650534,0.023215869098017428,0.12962962962962962,0.09259259259259259,0.037037037037037035,0.030529908290168172,-0.061106558972498885,0.09163646726266705,-1.8321306074912953,-1.5983621792591283,-0.23376842823216704
ESCA,esophagus,CYP3A5,1000,estimable:within_caliper,1.6742321315752284,1.8742074380073659,1.5979696963977392,1.791155208164524,-0.19318551176678467,0.9437232781882395,0.8977630214858932,0.04596025670234638,0.5370370370370371,0.7222222222222222,-0.18518518518518512,0.3680571493148366,0.05516943060616894,0.3128877187086676,6.058661862789322,3.72417335461366,2.3344885081756614
KICH,kidney,MAOB,1000,estimable:within_caliper,0.7691059666974774,0.9576656843545432,5.271160450420547,4.869458834706701,0.4017016157138462,0.7595819301901545,0.7303237777172229,0.02925815247293162,0.9444444444444444,1,-0.05555555555555558,-0.537354021720432,-0.5777847247428665,0.040430703022434455,6.669999332965542,6.33396088306679,0.3360384498987523
KICH,kidney,CYP3A4,1000,estimable:within_caliper,0.7999255460483188,1.1376385851773587,0.2796163007524594,0.26508877133010744,0.01452752942235197,0.9964085738630708,0.9675455884555585,0.02886298540751231,0.12962962962962962,0.12962962962962962,0,0.3639812209423825,-0.027635087955531653,0.39161630889791416,-0.7046785893970207,-0.9725325043484707,0.26785391495145006
KICH,kidney,CYP3A5,973,estimable:within_caliper,1.6499198707337308,1.9998853604147222,3.194285661232413,2.222306887594963,0.9719787736374501,0.9437232781882395,0.9184871849784129,0.02523609320982667,0.5370370370370371,0.5555555555555556,-0.01851851851851849,2.3240859034298094,1.485727335886843,0.8383585675429663,2.880445502963099,3.189343894696927,-0.3088983917338277
KICH,kidney,CYP3A7,1000,estimable:within_caliper,1.4583271445688588,1.8091396833713316,0.7552140486153798,0.36114901060975946,0.3940650380056203,0.9920989699539168,0.9687048506591753,0.023394119294741444,0.05555555555555555,0.12962962962962962,-0.07407407407407407,1.8749620746821485,0.36915586127610267,1.505806213406046,-1.5805223948751916,-0.7750343845983516,-0.80548801027684
KIRC,kidney,MAOB,1000,estimable:within_caliper,0.8183619036294492,1.0072434190574466,5.271160450420547,4.924462228836232,0.3466982215843153,0.7595819301901545,0.7275653388264708,0.03201659136368373,0.9444444444444444,1,-0.05555555555555558,-0.537354021720432,-0.5793356246893717,0.04198160296893971,7.213542442590908,6.667514810192319,0.5460276323985891
KIRC,kidney,CYP3A4,1000,estimable:within_caliper,0.810488838633182,1.108851656821129,0.2796163007524594,0.26947425600656605,0.010142044745893364,0.9964085738630708,0.9671832606388052,0.02922531322426558,0.12962962962962962,0.12962962962962962,0,0.3639812209423825,0,0.3639812209423825,-0.32786281051115823,-0.9039778800548726,0.5761150695437143
KIRC,kidney,CYP3A5,1000,estimable:within_caliper,1.6383787085601047,1.9969553727867877,3.194285661232413,2.301995529165689,0.8922901320667243,0.9437232781882395,0.9177418458454114,0.025981432342828126,0.5370370370370371,0.5740740740740741,-0.03703703703703698,2.3240859034298094,1.5126925281582981,0.8113933752715112,3.2173521456436354,3.384647675926489,-0.16729553028285382
KIRC,kidney,CYP3A7,1000,estimable:within_caliper,1.3867030399036944,1.7208915386221826,0.7552140486153798,0.3934677685568495,0.36174628005853027,0.9920989699539168,0.9686024739923289,0.02349649596158787,0.05555555555555555,0.12037037037037036,-0.06481481481481481,1.8749620746821485,0.4965874474478502,1.3783746272342983,-1.12216425339261,-0.6607075204672956,-0.4614567329253143
KIRP,kidney,MAOB,1000,estimable:within_caliper,0.8293601364972245,1.0209883429386266,5.271160450420547,4.946499115521373,0.32466133489917404,0.7595819301901545,0.7271219636812574,0.03245996650889715,0.9444444444444444,1,-0.05555555555555558,-0.537354021720432,-0.5741034290316749,0.036749407311242877,7.397329775725051,6.7025443528654325,0.6947854228596189
KIRP,kidney,CYP3A4,1000,estimable:within_caliper,0.8827699617699517,1.1732041076494806,0.2796163007524594,0.30180598523987756,-0.02218968448741815,0.9964085738630708,0.9671832606388052,0.02922531322426558,0.12962962962962962,0.14814814814814814,-0.018518518518518517,0.3639812209423825,0.04159495734825046,0.322386263594132,0.3155788201232935,-0.5867801873312797,0.9023590074545732
KIRP,kidney,CYP3A5,1000,estimable:within_caliper,1.6319745321025532,1.9948566187095218,3.194285661232413,2.322242515566622,0.8720431456657911,0.9437232781882395,0.9172395932322391,0.026483684956000397,0.5370370370370371,0.5740740740740741,-0.03703703703703698,2.3240859034298094,1.501931164922809,0.8221547385070003,3.543925504733898,3.59874224508934,-0.05481674035544204
