tcga_code,gene,gene_id,n_pairs,logFC,AveExpr,t,p_value,q_value_project,B,mean_normal_logcpm,mean_tumor_logcpm,analysis_status,organ,mapping_valid_for_baseline_model,mapping_note,reserved,q_value_global,passes_statistical_screen,passes_effect_screen,robust_count_level_change,count_level_interpretation,baseline_tpm,baseline_log2_tpm1,organ_specificity_log2,gtex_normal_abundance_class,low_normal_abundance_caution,interpretation_note
KICH,CYP3A7,ENSG00000160870,25,2.490823303182836,-0.38907190895172905,4.724846176166307,6.149450135884718e-5,1.7092848350943045e-4,1.1204667480815758,-1.5805223948751916,0.8023785769717332,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,9.443798422965819e-5,TRUE,TRUE,TRUE,gain,0.687882,0.7552140486153798,1.8749620746821485,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KICH,CYP3A43,ENSG00000021461,25,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0686738,0.09582155470606304,-0.2937212093226702,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRC,MAOB,ENSG00000069535,72,0.8048316374358927,7.606411736936342,5.370996764235666,8.690250755021623e-7,1.8029841682167827e-6,4.027349246455362,7.213542442590908,7.99928103128177,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,1.7794322974568083e-6,TRUE,TRUE,TRUE,gain,37.6169,5.271160450420547,-0.537354021720432,at_least_1_TPM,FALSE,
KIRC,CYP3A4,ENSG00000160868,72,-1.926103995861374,-1.1129287016610454,-7.011633108724977,9.368131975507784e-10,2.6104429914104267e-9,11.497681495466153,-0.32786281051115823,-1.897994592810932,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,3.0986898072833436e-9,TRUE,TRUE,TRUE,loss,0.213872,0.2796163007524594,0.3639812209423825,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRC,CYP3A5,ENSG00000106258,72,1.4618337550315275,3.9331389553273124,8.41126923659863,2.1654931685495496e-12,7.924161961288718e-12,16.973011433067455,3.2173521456436354,4.648925765010995,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,1.163952578095383e-11,TRUE,TRUE,TRUE,gain,8.15326,3.194285661232413,2.3240859034298094,at_least_1_TPM,FALSE,
KIRC,CYP3A7,ENSG00000160870,72,-0.4792482413452199,-1.3412937879995446,-2.1042648561535633,0.03875291787109222,0.04930748910437002,-5.346572388582515,-1.12216425339261,-1.5604233226064796,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,0.04503717482316122,TRUE,FALSE,FALSE,not_robust,0.687882,0.7552140486153798,1.8749620746821485,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRC,CYP3A43,ENSG00000021461,72,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0686738,0.09582155470606304,-0.2937212093226702,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRP,MAOB,ENSG00000069535,32,-0.8481437556344779,6.889910350223173,-2.7380475878997443,0.009757808308207001,0.01910374644029406,-4.552151887982696,7.397329775725051,6.382490924721291,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,0.012714719916754578,TRUE,TRUE,TRUE,loss,37.6169,5.271160450420547,-0.537354021720432,at_least_1_TPM,FALSE,
KIRP,CYP3A4,ENSG00000160868,32,-1.834353719537459,-0.5139773790310505,-4.213877463427361,1.7432063648900432e-4,5.436331516341657e-4,0.03704838444982794,0.3155788201232935,-1.3435335781853943,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,2.5847542651817883e-4,TRUE,TRUE,TRUE,loss,0.213872,0.2796163007524594,0.3639812209423825,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRP,CYP3A5,ENSG00000106258,32,1.7552260874981467,4.374376840541108,5.364788037136525,5.745921214502181e-6,2.6727296902304744e-5,2.8118016647516093,3.543925504733898,5.204828176348323,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,9.882984488943751e-6,TRUE,TRUE,TRUE,gain,8.15326,3.194285661232413,2.3240859034298094,at_least_1_TPM,FALSE,
KIRP,CYP3A7,ENSG00000160870,32,-1.7743696974805265,-1.603310513384587,-4.1240178492574415,2.2616961077624408e-4,6.874271923751142e-4,-0.14219844076567867,-0.6807281894968732,-2.525892837272301,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,3.241764421126165e-4,TRUE,TRUE,TRUE,loss,0.687882,0.7552140486153798,1.8749620746821485,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
KIRP,CYP3A43,ENSG00000021461,32,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0686738,0.09582155470606304,-0.2937212093226702,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
LIHC,MAOB,ENSG00000069535,50,-0.9141250816916641,7.937546741280644,-7.2201813517126405,2.0858220305738105e-9,1.7475457554916926e-8,10.69542576024029,8.356422604603969,7.518670877957316,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,6.406453379619561e-9,TRUE,TRUE,TRUE,loss,99.7081,6.654035914428958,0.8665917776291728,at_least_1_TPM,FALSE,
LIHC,CYP3A4,ENSG00000160868,50,-7.284966075661003,8.317655554663189,-12.6398165121738,1.597550322869685e-17,1.1972110100450223e-15,29.538647915260416,11.296536765154665,5.338774344171709,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,2.2898221294465483e-16,TRUE,TRUE,TRUE,loss,335.297,8.393592098866913,10.42545895596903,at_least_1_TPM,FALSE,
LIHC,CYP3A5,ENSG00000106258,50,-1.055955835712751,7.594662891823588,-5.705476196327849,5.510914977836955e-7,2.562109917494367e-6,5.123330072483062,8.08114751110693,7.1081782725402425,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,1.1848467202349453e-6,TRUE,TRUE,TRUE,loss,155.853,7.293269312477009,6.564089308795446,at_least_1_TPM,FALSE,
LIHC,CYP3A7,ENSG00000160870,50,-1.8042319330231502,3.230421397282149,-4.430932158475286,4.82663328297896e-5,1.4216731685322374e-4,0.7310484676158673,4.452004181056193,2.008838613508105,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,7.686860413633159e-5,TRUE,TRUE,TRUE,loss,24.5131,4.6731663008801325,6.840265064553394,at_least_1_TPM,FALSE,
LIHC,CYP3A43,ENSG00000021461,50,-2.8537130033334575,1.1633943981779888,-8.783908010611661,7.170658928126736e-12,1.1609372992676793e-10,16.574851270378062,2.8622187235936436,-0.5354299272376661,primary_count_level,liver,TRUE,MAOB/CYP3A4 tumor-normal cells reserved,FALSE,2.8030757628131786e-11,TRUE,TRUE,TRUE,loss,4.28768,2.4026348704193086,4.407429299182693,at_least_1_TPM,FALSE,
LUAD,MAOB,ENSG00000069535,58,-1.5021946041796652,4.922728941960887,-10.27518832569133,6.383844730167618e-15,5.9366115014477e-14,23.163208156950642,5.714779962333995,4.1306779215877825,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,5.4901064679441514e-14,TRUE,TRUE,TRUE,loss,58.3808,5.891924624861612,0.0953979214004817,at_least_1_TPM,FALSE,
LUAD,CYP3A4,ENSG00000160868,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.127294,0.17286382165691538,-0.10163551221462913,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
LUAD,CYP3A5,ENSG00000106258,58,-0.3332621167777662,3.1264518246238993,-1.6645377124918947,0.10114351961338863,0.1285966667590852,-6.2969670353825045,3.4044217808390047,2.8484818684087942,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,0.11445187745725556,FALSE,FALSE,FALSE,not_robust,17.5528,4.213565030589169,3.4209469432450192,at_least_1_TPM,FALSE,
LUAD,CYP3A7,ENSG00000160870,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,1.68354,1.4241373926280432,3.053654166087647,at_least_1_TPM,FALSE,
LUAD,CYP3A43,ENSG00000021461,58,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.128062,0.17384636262537312,0.1414689754717538,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
LUSC,MAOB,ENSG00000069535,51,-2.240749604167458,4.6101405345968764,-12.861599872391627,4.941214352875618e-18,5.743599883157989e-17,30.467165020660904,5.825534725399154,3.3947463437945955,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,1.0623610858682579e-16,TRUE,TRUE,TRUE,loss,58.3808,5.891924624861612,0.0953979214004817,at_least_1_TPM,FALSE,
LUSC,CYP3A4,ENSG00000160868,51,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.127294,0.17286382165691538,-0.10163551221462913,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
LUSC,CYP3A5,ENSG00000106258,51,-0.99559653632554,2.905386686988982,-7.132965724276386,2.497350686667581e-9,7.658800630696387e-9,10.516314200812461,3.400164825569516,2.4106085484084447,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,7.159071968447066e-9,TRUE,TRUE,TRUE,loss,17.5528,4.213565030589169,3.4209469432450192,at_least_1_TPM,FALSE,
LUSC,CYP3A7,ENSG00000160870,51,-2.6581924619032002,-3.073846039890402,-10.25964562874718,2.7328427456864017e-14,1.6556332585063324e-13,22.259617652196717,-1.7202498289374948,-4.42744225084331,primary_count_level,lung,TRUE,Direct organ mapping,FALSE,1.8028016872884673e-13,TRUE,TRUE,TRUE,loss,1.68354,1.4241373926280432,3.053654166087647,at_least_1_TPM,FALSE,
LUSC,CYP3A43,ENSG00000021461,51,,,,,,,,,low_expression_not_estimable,lung,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.128062,0.17384636262537312,0.1414689754717538,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
PRAD,MAOB,ENSG00000069535,52,-1.3230157448894477,6.2703513081296185,-7.773706350685809,2.2349894747978983e-10,2.6369362062845728e-9,13.134789120644287,6.933407854614689,5.607294761644538,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,8.008712284692469e-10,TRUE,TRUE,TRUE,loss,58.8878,5.904190230252803,0.10785147797031763,at_least_1_TPM,FALSE,
PRAD,CYP3A4,ENSG00000160868,52,,,,,,,,,low_expression_not_estimable,prostate,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.139941,0.18895915666183338,-0.02351541358675457,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
PRAD,CYP3A5,ENSG00000106258,52,-1.4360464349641855,3.990327145276197,-10.227279309547438,2.934793444423086e-14,1.5696343460703993e-12,22.1462137248568,4.676410977894947,3.304243312657451,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,1.8028016872884673e-13,TRUE,TRUE,TRUE,loss,42.5218,5.443666320532872,4.692641430605946,at_least_1_TPM,FALSE,
PRAD,CYP3A7,ENSG00000160870,52,,,,,,,,,low_expression_not_estimable,prostate,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.447048,0.5331127782714451,1.3486499251989332,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
PRAD,CYP3A43,ENSG00000021461,52,-0.7124778756562306,-2.6489235488140443,-2.6196272764963404,0.01139238692180603,0.02082179928571889,-3.2797061570389583,-2.319085152527923,-2.9787619451001675,primary_count_level,prostate,TRUE,Direct organ mapping,FALSE,0.014408018754048802,TRUE,TRUE,TRUE,loss,0.655112,0.7269288462635529,1.8687335368568048,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
STAD,MAOB,ENSG00000069535,33,-1.9133117519938714,4.982946826518018,-6.822460094353284,6.62658432887131e-8,1.9742899614604634e-6,7.947647298216664,5.975718183231056,3.9901754698049854,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,1.6761360361262727e-7,TRUE,TRUE,TRUE,loss,20.341,4.415555874669163,-1.4210993491669603,at_least_1_TPM,FALSE,
STAD,CYP3A4,ENSG00000160868,33,-2.4340114440665364,0.6755974634895957,-2.842194677968817,0.007439761547413703,0.019576869056625593,-3.083687326877964,1.5348214423179378,-0.18362651533874597,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,0.009997179579337163,TRUE,TRUE,TRUE,loss,0.137481,0.18584244734675526,-0.038383020065137344,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
STAD,CYP3A5,ENSG00000106258,33,-0.22373042944017868,5.506601092887592,-0.4846620005346165,0.630948559793814,0.7154951427196468,-7.034747924185393,5.6673362178172715,5.345865967957914,primary_count_level,stomach,TRUE,Direct organ mapping,FALSE,0.6459711445508095,FALSE,FALSE,FALSE,not_robust,45.2894,5.532609957525062,4.7834053259272435,at_least_1_TPM,FALSE,
STAD,CYP3A7,ENSG00000160870,33,,,,,,,,,low_expression_not_estimable,stomach,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.119553,0.16292282745558498,0.031551747034335824,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
STAD,CYP3A43,ENSG00000021461,33,,,,,,,,,low_expression_not_estimable,stomach,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0996059,0.13698655284919473,-0.05080274255844738,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
THCA,MAOB,ENSG00000069535,59,-1.5046117850422522,2.601319773031304,-6.907089707517074,3.2803041748042093e-9,1.4885194127005642e-8,10.391320921980224,3.454659760186185,1.7479797858764228,primary_count_level,thyroid,TRUE,Direct organ mapping,FALSE,8.815817469786312e-9,TRUE,TRUE,TRUE,loss,10.0494,3.465896125994902,-2.4311706832409326,at_least_1_TPM,FALSE,
THCA,CYP3A4,ENSG00000160868,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.130997,0.17759510254536137,-0.07832099806814612,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
THCA,CYP3A5,ENSG00000106258,59,-0.23007884364699577,2.299283551273958,-5.094724116080176,3.571962961260232e-6,9.821073851861317e-6,3.549561479308153,2.4175892682076956,2.1809778343402204,primary_count_level,thyroid,TRUE,Direct organ mapping,FALSE,6.399766972257916e-6,TRUE,FALSE,FALSE,not_robust,0.624359,0.6998705181646011,-1.1861013918332202,0.1_to_below_1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
THCA,CYP3A7,ENSG00000160870,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0889649,0.12295745321732725,-0.18489922024745173,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
THCA,CYP3A43,ENSG00000021461,59,,,,,,,,,low_expression_not_estimable,thyroid,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,0.0938411,0.12940317607187168,-0.09308261053622437,below_0.1_TPM,TRUE,Large fold changes from a low normal-tissue baseline require abundance-aware interpretation
