gene,tissue,n_hpa_rows,hpa_expression
MAOB,stomach,1,22.4
MAOB,urinary bladder,1,20.5
MAOB,gallbladder,1,16.2
MAOB,rectum,1,15.5
MAOB,parathyroid gland,1,14.7
MAOB,colon,1,14.5
MAOB,placenta,1,10.5
MAOB,pancreas,1,10.3
MAOB,testis,1,8.4
MAOB,tonsil,1,6.6
MAOB,appendix,1,6.1
MAOB,lymph node,1,5.7
MAOB,skin,1,3.5
MAOB,thymus,1,3.5
MAOB,thyroid gland,1,3.1
MAOB,spleen,1,2.3
MAOB,bone marrow,1,0.1
