tcga_code,partner,n_pairs,detection_normal_MAOB,detection_tumor_MAOB,detection_normal_partner,detection_tumor_partner,rho_normal,rho_tumor,delta_rho,bootstrap_valid,ci_low,ci_high,p_value,status,organ,q_value_primary,passes_coexpression_effect,robust_rewiring,rewiring_direction
KIRC,CYP3A43,72,1,1,0.875,0.8888888888888888,0.24655605675314643,0.032942996521070383,-0.21361306023207605,2000,-0.5086755019760667,0.09805927969357586,0.19590204897551225,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
KIRP,CYP3A4,32,1,1,1,0.96875,0.939516129032258,0.25513196480938416,-0.6843841642228738,2000,-1.0380221881560623,-0.37364612787793217,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRP,CYP3A5,32,1,1,1,1,0.6598240469208211,0.42741935483870963,-0.23240469208211145,2000,-0.5998831927640484,0.11168293923562529,0.16691654172913542,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
KIRP,CYP3A7,32,1,1,1,0.90625,0.875733137829912,0.2244224573334189,-0.6513106804964931,2000,-0.9983149560103006,-0.3418185544693501,9.995002498750624e-4,primary_n_ge_30,kidney,0.006663334999167083,TRUE,TRUE,more_negative_in_tumor
KIRP,CYP3A43,32,1,1,0.90625,0.75,-0.09790979756212884,0.2703214514521004,0.3682312490142292,2000,-0.1934888245150705,0.9113877691374208,0.2048975512243878,primary_n_ge_30,kidney,0.41179410294852575,TRUE,FALSE,not_robust
LUAD,CYP3A4,58,1,1,0.8620689655172413,0.8275862068965517,-0.09819368611123706,0.0073922414067134476,0.10558592751795051,2000,-0.24405710397075214,0.45773690845508974,0.5387306346826587,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust
LUAD,CYP3A5,58,1,1,1,1,0.3497800609062105,0.08499184841120919,-0.2647882124950013,2000,-0.6172449000040587,0.12351612725455766,0.16991504247876063,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust
LUAD,CYP3A7,58,1,1,1,0.8103448275862069,0.43584853425205317,0.34001630821907375,-0.09583222603297942,2000,-0.3992060197640591,0.20302725112170875,0.543728135932034,primary_n_ge_30,lung,0.7369648509078793,FALSE,FALSE,not_robust
LUAD,CYP3A43,58,1,1,0.7068965517241379,0.5344827586206896,-0.12735231563653046,0.09657858354481316,0.22393089918134362,2000,-0.1191845554382812,0.5574004866137746,0.20589705147426288,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust
LUSC,CYP3A4,51,1,1,0.9411764705882353,0.8823529411764706,-0.04321364737864778,0.23585055834953245,0.27906420572818025,2000,-0.09049702028134649,0.6358175079938233,0.13893053473263367,primary_n_ge_30,lung,0.41179410294852575,TRUE,FALSE,not_robust
LUSC,CYP3A5,51,1,1,1,1,0.24235294117647058,-0.1492307692307692,-0.39158371040723977,2000,-0.8008493135425797,0.05943305423738532,0.08395802098950525,primary_n_ge_30,lung,0.3053018945072918,TRUE,FALSE,not_robust
LUSC,CYP3A7,51,1,1,1,0.7843137254901961,0.547601809954751,0.1270813082811874,-0.42052050167356364,2000,-0.7567937957684918,-0.07280058466682558,0.01999000499750125,primary_n_ge_30,lung,0.09995002498750626,TRUE,FALSE,not_robust
LUSC,CYP3A43,51,1,1,0.8823529411764706,0.803921568627451,-0.35615199456005964,0.08572731073639862,0.44187930529645825,2000,0.03924796696642693,0.8058750249838577,0.028985507246376812,primary_n_ge_30,lung,0.12882447665056362,TRUE,FALSE,not_robust
PRAD,CYP3A4,52,1,1,0.9230769230769231,0.8653846153846154,-0.1347935644054715,-0.3125707644875061,-0.1777772000820346,2000,-0.5147369140336002,0.18406073112599952,0.3598200899550225,primary_n_ge_30,prostate,0.6542183453727682,FALSE,FALSE,not_robust
PRAD,CYP3A5,52,1,1,1,1,-0.15239477503628446,0.21497481430888754,0.367369589345172,2000,-0.033927282079939274,0.7258528431623866,0.06996501749125437,primary_n_ge_30,prostate,0.2798600699650175,TRUE,FALSE,not_robust
PRAD,CYP3A7,52,1,1,0.9423076923076923,0.8461538461538461,-0.17310196157707128,-0.0777939396099386,0.09530802196713267,2000,-0.3553220825380524,0.562500112806267,0.6836581709145427,primary_n_ge_30,prostate,0.8783487044356609,FALSE,FALSE,not_robust
PRAD,CYP3A43,52,1,1,0.9807692307692307,0.9807692307692307,-0.306923930675318,-0.12140356868436779,0.18552036199095018,2000,-0.22294988632856944,0.5996029028395784,0.3868065967016492,primary_n_ge_30,prostate,0.6727071246985203,FALSE,FALSE,not_robust
STAD,CYP3A4,33,1,1,0.9696969696969697,1,0.14772727272727273,-0.01537433155080214,-0.16310160427807488,2000,-0.6655339614461393,0.3431453245727819,0.5237381309345327,primary_n_ge_30,stomach,0.7369648509078793,FALSE,FALSE,not_robust
STAD,CYP3A5,33,1,1,1,1,-0.13135026737967914,-0.0855614973262032,0.04578877005347594,2000,-0.5515855255456139,0.6215116584341804,0.8575712143928036,primary_n_ge_30,stomach,0.9784581393513769,FALSE,FALSE,not_robust
STAD,CYP3A7,33,1,1,0.7878787878787878,0.7878787878787878,0.39122852772422106,0.07324258438127233,-0.3179859433429487,2000,-0.7998786994979851,0.17195795575319914,0.20189905047476261,primary_n_ge_30,stomach,0.41179410294852575,TRUE,FALSE,not_robust
STAD,CYP3A43,33,1,1,0.696969696969697,0.7575757575757576,0.3786070919601917,-0.04264654245125235,-0.42125363441144403,2000,-0.9109008803666273,0.07398452721304384,0.10194902548725637,primary_n_ge_30,stomach,0.33983008495752126,TRUE,FALSE,not_robust
THCA,CYP3A4,59,1,1,0.9661016949152542,0.9152542372881356,-0.18182615177498768,0.0839336599010873,0.265759811676075,2000,-0.10504739678225802,0.5894880224409889,0.16091954022988506,primary_n_ge_30,thyroid,0.41179410294852575,TRUE,FALSE,not_robust
THCA,CYP3A5,59,1,1,1,1,0.06405610753945062,0.09929865575686735,0.03524254821741672,2000,-0.3620525857455564,0.41001967705676473,0.8765617191404298,primary_n_ge_30,thyroid,0.9784581393513769,FALSE,FALSE,not_robust
THCA,CYP3A7,59,1,1,0.8135593220338984,0.7627118644067796,-0.05108766291829036,-0.029771272161872604,0.021316390756417756,2000,-0.34813287697203116,0.3706386607452309,0.9295352323838081,primary_n_ge_30,thyroid,0.9784581393513769,FALSE,FALSE,not_robust
THCA,CYP3A43,59,1,1,0.7966101694915254,0.7796610169491526,0.04762743566783307,0.06544142441657386,0.017813988748740787,2000,-0.3377228105917541,0.39692002890333394,0.927536231884058,primary_n_ge_30,thyroid,0.9784581393513769,FALSE,FALSE,not_robust
