background_gene_id,background_gene_symbol,n_coverage,covered_cancers,n_loss,loss_fraction,n_gain,gain_fraction,median_logFC,mean_logFC,mean_matching_distance,maximum_matching_distance,target_gene,n_target_cancers,coverage_fraction,eligible_primary_null
ENSG00000189077,TMEM120A,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,1,0.1,0,0,-0.0879731736696869,-0.18289984812991764,0.6647645527967774,1.1535451664820242,MAOB,12,0.8333333333333334,TRUE
ENSG00000082996,RNF13,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1,0,0,-0.07206980693291874,-0.08279481347925641,0.6798909178734672,1.0628718579591472,MAOB,12,0.8333333333333334,TRUE
ENSG00000124702,KLHDC3,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD,1,0.1,0,0,0.008362053314224521,-0.0369977786857949,0.7021555908031907,1.424966269405206,MAOB,12,0.8333333333333334,TRUE
ENSG00000186660,ZFP91,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1,1,0.1,0.10544214430919788,0.0728194218485125,0.674662582947627,0.9157894499667041,MAOB,12,0.8333333333333334,TRUE
ENSG00000109919,MTCH2,10,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,1,0.1,3,0.3,0.24416336734249178,0.21923301870675568,0.729151463700433,1.0499472221515156,MAOB,12,0.8333333333333334,TRUE
ENSG00000138385,SSB,10,BRCA;COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD,1,0.1,3,0.3,0.2920805866102154,0.22582149194454754,0.7348598362893639,1.012775229111298,MAOB,12,0.8333333333333334,TRUE
ENSG00000162729,IGSF8,10,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,1,0.1,2,0.2,0.4172689929601259,0.25841531981361904,0.6313155753653197,1.3472342558027137,MAOB,12,0.8333333333333334,TRUE
ENSG00000101474,APMAP,10,BRCA;COAD;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,1,0.1,4,0.4,0.4193979661212538,0.36036038241903945,0.6002103896693562,1.101434859678494,MAOB,12,0.8333333333333334,TRUE
ENSG00000127824,TUBA4A,10,COAD;ESCA;KICH;KIRC;KIRP;LUAD;LUSC;PRAD;STAD;THCA,1,0.1,6,0.6,0.6217595983971806,0.2901639822939338,0.7147686904267092,1.4148350980950486,MAOB,12,0.8333333333333334,TRUE
ENSG00000072310,SREBF1,10,BRCA;ESCA;KICH;KIRC;KIRP;LIHC;LUAD;LUSC;PRAD;STAD,1,0.1,7,0.7,0.671300710957963,0.6001070984510768,0.7694694591731951,1.116461214593528,MAOB,12,0.8333333333333334,TRUE
