tcga_code,gene,gene_id,n_pairs,logFC,AveExpr,t,p_value,q_value_project,B,mean_normal_logcpm,mean_tumor_logcpm,analysis_status,organ,mapping_valid_for_baseline_model,mapping_note,reserved,q_value_global,passes_statistical_screen,passes_effect_screen,robust_count_level_change,count_level_interpretation,identity_median_logFC,n_identity_genes,identity_status,residual_vs_identity,more_negative_than_identity
KICH,CYP3A7,ENSG00000160870,25,2.490823303182836,-0.38907190895172905,4.724846176166307,6.149450135884718e-5,1.7092848350943045e-4,1.1204667480815758,-1.5805223948751916,0.8023785769717332,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,9.443798422965819e-5,TRUE,TRUE,TRUE,gain,-5.908812657380793,200,estimable,8.399635960563629,FALSE
KICH,CYP3A43,ENSG00000021461,25,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-5.908812657380793,200,estimable,,FALSE
KIRC,MAOB,ENSG00000069535,72,0.8048316374358927,7.606411736936342,5.370996764235666,8.690250755021623e-7,1.8029841682167827e-6,4.027349246455362,7.213542442590908,7.99928103128177,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,1.7794322974568083e-6,TRUE,TRUE,TRUE,gain,-2.109952254804041,200,estimable,2.9147838922399334,FALSE
KIRC,CYP3A4,ENSG00000160868,72,-1.926103995861374,-1.1129287016610454,-7.011633108724977,9.368131975507784e-10,2.6104429914104267e-9,11.497681495466153,-0.32786281051115823,-1.897994592810932,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,3.0986898072833436e-9,TRUE,TRUE,TRUE,loss,-2.109952254804041,200,estimable,0.18384825894266688,FALSE
KIRC,CYP3A5,ENSG00000106258,72,1.4618337550315275,3.9331389553273124,8.41126923659863,2.1654931685495496e-12,7.924161961288718e-12,16.973011433067455,3.2173521456436354,4.648925765010995,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,1.163952578095383e-11,TRUE,TRUE,TRUE,gain,-2.109952254804041,200,estimable,3.5717860098355683,FALSE
KIRC,CYP3A7,ENSG00000160870,72,-0.4792482413452199,-1.3412937879995446,-2.1042648561535633,0.03875291787109222,0.04930748910437002,-5.346572388582515,-1.12216425339261,-1.5604233226064796,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,0.04503717482316122,TRUE,FALSE,FALSE,not_robust,-2.109952254804041,200,estimable,1.6307040134588209,FALSE
KIRC,CYP3A43,ENSG00000021461,72,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-2.109952254804041,200,estimable,,FALSE
KIRP,MAOB,ENSG00000069535,32,-0.8481437556344779,6.889910350223173,-2.7380475878997443,0.009757808308207001,0.01910374644029406,-4.552151887982696,7.397329775725051,6.382490924721291,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,0.012714719916754578,TRUE,TRUE,TRUE,loss,-2.7633279662687773,200,estimable,1.9151842106342993,FALSE
KIRP,CYP3A4,ENSG00000160868,32,-1.834353719537459,-0.5139773790310505,-4.213877463427361,1.7432063648900432e-4,5.436331516341657e-4,0.03704838444982794,0.3155788201232935,-1.3435335781853943,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,2.5847542651817883e-4,TRUE,TRUE,TRUE,loss,-2.7633279662687773,200,estimable,0.9289742467313182,FALSE
KIRP,CYP3A5,ENSG00000106258,32,1.7552260874981467,4.374376840541108,5.364788037136525,5.745921214502181e-6,2.6727296902304744e-5,2.8118016647516093,3.543925504733898,5.204828176348323,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,9.882984488943751e-6,TRUE,TRUE,TRUE,gain,-2.7633279662687773,200,estimable,4.518554053766924,FALSE
KIRP,CYP3A7,ENSG00000160870,32,-1.7743696974805265,-1.603310513384587,-4.1240178492574415,2.2616961077624408e-4,6.874271923751142e-4,-0.14219844076567867,-0.6807281894968732,-2.525892837272301,primary_count_level,kidney,TRUE,Direct organ mapping,FALSE,3.241764421126165e-4,TRUE,TRUE,TRUE,loss,-2.7633279662687773,200,estimable,0.9889582687882508,FALSE
KIRP,CYP3A43,ENSG00000021461,32,,,,,,,,,low_expression_not_estimable,kidney,TRUE,Direct organ mapping,FALSE,,FALSE,FALSE,FALSE,not_estimable_primary,-2.7633279662687773,200,estimable,,FALSE
