tcga_code,organ,mapping_valid_for_baseline_model,gtex_pattern,matched_gtex_tissues,gene_id,gene_symbol,baseline_tpm,baseline_log2_tpm1,organ_specificity_log2,max_tpm,cross_tissue_median_tpm,tau,breadth_0_1tpm,breadth_1tpm
KIRC,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000160868,CYP3A4,0.213872,0.2796163007524594,0.3639812209423825,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
KIRC,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000106258,CYP3A5,8.15326,3.194285661232413,2.3240859034298094,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
KIRC,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000160870,CYP3A7,0.687882,0.7552140486153798,1.8749620746821485,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
KIRC,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000021461,CYP3A43,0.0686738,0.09582155470606304,-0.2937212093226702,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
KIRP,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000069535,MAOB,37.6169,5.271160450420547,-0.537354021720432,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
KIRP,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000160868,CYP3A4,0.213872,0.2796163007524594,0.3639812209423825,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
KIRP,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000106258,CYP3A5,8.15326,3.194285661232413,2.3240859034298094,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
KIRP,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000160870,CYP3A7,0.687882,0.7552140486153798,1.8749620746821485,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
KIRP,kidney,TRUE,^Kidney - Cortex$,Kidney - Cortex,ENSG00000021461,CYP3A43,0.0686738,0.09582155470606304,-0.2937212093226702,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
LIHC,liver,TRUE,^Liver$,Liver,ENSG00000069535,MAOB,99.7081,6.654035914428958,0.8665917776291728,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
LIHC,liver,TRUE,^Liver$,Liver,ENSG00000160868,CYP3A4,335.297,8.393592098866913,10.42545895596903,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
LIHC,liver,TRUE,^Liver$,Liver,ENSG00000106258,CYP3A5,155.853,7.293269312477009,6.564089308795446,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
LIHC,liver,TRUE,^Liver$,Liver,ENSG00000160870,CYP3A7,24.5131,4.6731663008801325,6.840265064553394,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
LIHC,liver,TRUE,^Liver$,Liver,ENSG00000021461,CYP3A43,4.28768,2.4026348704193086,4.407429299182693,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
LUAD,lung,TRUE,^Lung$,Lung,ENSG00000069535,MAOB,58.3808,5.891924624861612,0.0953979214004817,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
LUAD,lung,TRUE,^Lung$,Lung,ENSG00000160868,CYP3A4,0.127294,0.17286382165691538,-0.10163551221462913,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
LUAD,lung,TRUE,^Lung$,Lung,ENSG00000106258,CYP3A5,17.5528,4.213565030589169,3.4209469432450192,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
LUAD,lung,TRUE,^Lung$,Lung,ENSG00000160870,CYP3A7,1.68354,1.4241373926280432,3.053654166087647,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
LUAD,lung,TRUE,^Lung$,Lung,ENSG00000021461,CYP3A43,0.128062,0.17384636262537312,0.1414689754717538,4.28768,0.10676,0.9588837795202965,0.5555555555555556,0.05555555555555555
LUSC,lung,TRUE,^Lung$,Lung,ENSG00000069535,MAOB,58.3808,5.891924624861612,0.0953979214004817,240.444,54.63885,0.7595819301901545,1,0.9444444444444444
LUSC,lung,TRUE,^Lung$,Lung,ENSG00000160868,CYP3A4,0.127294,0.17286382165691538,-0.10163551221462913,335.297,0.143884,0.9964085738630708,0.6851851851851852,0.12962962962962962
LUSC,lung,TRUE,^Lung$,Lung,ENSG00000106258,CYP3A5,17.5528,4.213565030589169,3.4209469432450192,155.853,1.5481850000000001,0.9437232781882395,0.9814814814814815,0.5370370370370371
LUSC,lung,TRUE,^Lung$,Lung,ENSG00000160870,CYP3A7,1.68354,1.4241373926280432,3.053654166087647,24.5131,0.1148035,0.9920989699539168,0.5370370370370371,0.05555555555555555
