n_cells,n_organs,n_genes,beta_baseline_z,robust_se,t_value,p_value,status,sensitivity
29,9,5,-0.6437335477423287,0.3571085645339977,-1.8026270206718706,0.0845671476214282,estimable_cluster_HC2,all_detectable
19,9,3,-0.1236798569634601,0.12557652437993658,-0.9848963217779619,0.34029586678498525,estimable_cluster_HC2,normal_baseline_ge_1_TPM
